"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 11:02:09 GMT 2022","Tue Oct 25 11:02:16 GMT 2022","6891","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Tue Oct 25 11:02:11 GMT 2022","Tue Oct 25 11:02:20 GMT 2022","9074","","ContactUs page test","","ContactUs page test","Test if all 12 numbers are displayed on the ContactUs page","Test if all 12 numbers are displayed on the ContactUs page",""
"passed","Tue Oct 25 11:02:38 GMT 2022","Tue Oct 25 11:02:40 GMT 2022","2350","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Tue Oct 25 11:02:20 GMT 2022","Tue Oct 25 11:02:28 GMT 2022","8228","","ContactUs page test","","ContactUs page test","Check is the Support Center link leeds to the correct page","Check is the Support Center link leeds to the correct page",""
"passed","Tue Oct 25 11:02:40 GMT 2022","Tue Oct 25 11:02:42 GMT 2022","2160","","WaitList test","","WaitList test","Test the “Join the waitlist” button","Test the “Join the waitlist” button",""
"passed","Tue Oct 25 11:02:16 GMT 2022","Tue Oct 25 11:02:25 GMT 2022","9235","","ContactUs page test","","ContactUs page test","Check is the Support Center link leeds to the correct page","Check is the Support Center link leeds to the correct page",""
